mass [GeV]                    lifetime [cm]                 optimal pt Cut                optimal Ias Cut               min. excluded xsection [pb]   actual xsection [pb]          
100                           5                             25                            0.05                          1.0210                        5.8234                        
200                           5                             25                            0.05                          0.7643                        0.3792                        
300                           5                             30                            0.05                          0.5439                        0.0675                        
400                           5                             25                            0.05                          0.6182                        0.0175                        
500                           5                             25                            0.05                          0.5651                        0.0055                        
100                           10                            40                            0.05                          0.5351                        5.8234                        
200                           10                            30                            0.05                          0.2977                        0.3792                        
300                           10                            30                            0.05                          0.2078                        0.0675                        
400                           10                            50                            0.30                          0.1838                        0.0175                        
500                           10                            50                            0.30                          0.1694                        0.0055                        
100                           50                            45                            0.05                          0.2824                        5.8234                        
200                           50                            50                            0.30                          0.0913                        0.3792                        
300                           50                            50                            0.30                          0.0551                        0.0675                        
400                           50                            50                            0.30                          0.0351                        0.0175                        
500                           50                            50                            0.35                          0.0318                        0.0055                        
100                           100                           50                            0.30                          0.2813                        5.8234                        
200                           100                           50                            0.30                          0.0760                        0.3792                        
300                           100                           50                            0.30                          0.0412                        0.0675                        
400                           100                           50                            0.30                          0.0261                        0.0175                        
500                           100                           50                            0.30                          0.0233                        0.0055                        
